PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20130930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20131010,,,,,1,6,64,55,288.79999,318.12000,312.64001,464037,0.112677,312.63000,312.84000,458000,1,1,312.64001,,20130930,0.112677,0.037470,0.035676,0.051828,0.049754,0.029749
84788,20131031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20131230,,,,,1,6,64,55,298.23001,364.03000,364.03000,823283,0.164374,364.01001,364.04999,457734,1,1,364.03000,,20131031,0.164374,0.039895,0.038608,0.025762,0.024591,0.044596
84788,20131129,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,62,55,343.56000,393.62000,393.62000,576040,0.081285,393.62000,393.73999,457734,1,1,393.62000,,20131129,0.081285,0.024966,0.022842,0.023398,0.021660,0.028049
84788,20131231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140114,,,,,1,6,62,55,381.25000,404.39001,398.79001,562732,0.013135,398.28000,398.82999,459000,1,1,398.79001,,20131231,0.013135,0.026140,0.024086,0.025242,0.022010,0.023563
84788,20140131,20191231,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140220,,,,,1,6,63,55,358.69000,407.04999,358.69000,811011,-0.100554,358.54001,358.62000,459265,1,1,358.69000,,20140131,-0.100554,-0.029987,-0.031093,-0.001282,-0.002254,-0.035583
84788,20140228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140330,,,,,1,6,63,55,346.14999,362.10001,362.10001,831240,0.009507,361.91000,362.10001,459894,1,1,362.10001,,20140228,0.009507,0.046186,0.043951,0.044257,0.042687,0.043117
84788,20140331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140415,,,,,1,6,62,55,336.36499,378.76999,336.36499,753679,-0.071072,336.35999,336.51999,460000,1,1,336.36499,,20140331,-0.071072,0.004501,0.002784,0.001028,-0.001095,0.006932
84788,20140430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140629,,,,,1,6,62,55,296.57999,342.98999,304.13000,1383566,-0.095833,303.91000,304.16000,460167,1,1,304.13000,,20140430,-0.095833,0.001670,0.000506,-0.022319,-0.023436,0.006201
84788,20140530,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,62,55,288.32001,313.78000,312.54999,788313,0.027685,312.42999,312.54999,460167,1,1,312.54999,,20140530,0.027685,0.020223,0.018015,0.006647,0.004858,0.021030
84788,20140630,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140715,,,,,1,6,61,55,306.78000,335.20001,324.78000,768726,0.039130,324.78000,324.79001,462000,1,1,324.78000,,20140630,0.039130,0.027961,0.025977,0.039501,0.037053,0.019058
84788,20140731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140929,,,,,1,6,60,55,312.98999,360.84000,312.98999,994989,-0.036302,312.98999,313.00000,462036,1,1,312.98999,,20140731,-0.036302,-0.020537,-0.021832,-0.035236,-0.036424,-0.015080
84788,20140829,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,,,,,,,,,,,,,,,,,,,307.06000,343.17999,339.04001,620794,0.083230,339.01999,339.04001,462036,1,1,339.04001,,20140829,0.083230,0.040207,0.038204,0.033707,0.032165,0.037655
84788,20140930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20141014,,,,,1,6,60,55,321.82001,346.38000,322.44000,681127,-0.048962,322.44000,322.45001,463000,1,1,322.44000,,20140930,-0.048962,-0.025132,-0.026826,-0.044988,-0.046891,-0.015514
84788,20141031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20141230,,,,,1,6,61,1,287.06000,322.73999,305.45999,1112257,-0.052661,305.45001,305.45999,463006,1,1,305.45999,,20141031,-0.052661,0.021196,0.019948,0.014177,0.012933,0.023201
